,height,weight,sex
0,141.78909131492105,47.14686193352068,male
1,144.64793339566543,50.96903078540263,male
2,145.04055168921386,49.54874242261254,male
3,145.4061691128882,47.98021173573171,male
4,145.4779224745586,62.348066432755815,male
5,146.28524164798444,45.660217658104386,male
6,146.5541116493003,61.868289919405555,male
7,146.8049509252465,56.08510531986557,male
8,146.8265654182811,45.225220748248695,male
9,147.03991674380686,55.09881556369353,male
10,147.14342250635244,45.932741441316566,male
11,147.14736903905086,49.301290891582546,male
12,147.62895379720874,50.188686966165804,male
13,147.64853903270958,51.517733137701555,male
14,147.67092460452756,51.61953373344327,male
15,147.8433700424594,50.106016765320746,male
16,147.99153539477132,44.642324311950425,male
17,148.0906396923267,50.200578832035,male
18,148.22301389470692,54.10004319349485,male
19,148.2739903795098,44.08556875424489,male
20,148.469777740473,57.383891416439894,male
21,148.490576730189,62.07652652595637,male
22,148.5157188295498,51.571497904360086,male
23,148.58076585422978,46.805808993206234,male
24,148.71607303465225,50.48570694568595,male
25,148.89405176260513,49.35398197544847,male
26,148.93087538182087,51.08072042037747,male
27,148.99068087774003,51.189508486853,male
28,149.0404088502246,56.387852228130875,male
29,149.26928378375493,53.05416042761144,male
30,149.31016393792024,50.14497945666433,male
31,149.3632215078151,46.00311545597668,male
32,149.5351815458668,45.67244629044816,male
33,149.68082737708312,56.14493991559518,male
34,149.76151713581436,54.122359412325594,male
35,149.7755362521302,48.2087716180795,male
36,149.77625758316498,56.28893211231922,male
37,149.80809458056976,50.12597958537792,male
38,149.81595284686034,47.557110217505,male
39,149.81640504106025,53.99272231755596,male
40,149.8271374090355,54.274647922588215,male
41,149.82932967767758,58.25870288614253,male
42,149.83532440476083,52.744804619117915,male
43,149.8596892009875,57.3148788912478,male
44,149.880059286029,50.70812881615311,male
45,149.90173475111666,51.49609595386925,male
46,149.90293927689402,52.580294634469794,male
47,150.0650460850204,55.553859113905084,male
48,150.1379281549889,53.36783533261465,male
49,150.17416543701947,53.4482457274752,male
50,150.1831294223859,47.38116215970159,male
51,150.19749270759937,57.841733020423284,male
52,150.27346747764966,52.97832303513598,male
53,150.2847560632349,52.148687423145006,male
54,150.2912443242722,57.27239971712934,male
55,150.34987308394278,55.353350687132476,male
56,150.3912446592747,53.47811926270751,male
57,150.41609664373686,49.05051006795147,male
58,150.43594510128756,60.72031007318198,male
59,150.5047997811514,48.75846101371951,male
60,150.51882305429987,41.69323342284168,male
61,150.63568969927837,59.267056326211595,male
62,150.64874944343865,55.42562825671862,male
63,150.66693976103093,50.26186231835462,male
64,150.70000352948557,52.38468872723762,male
65,150.7642752834181,50.869610937110245,male
66,150.78648781049878,52.308190689125134,male
67,150.7893054586604,47.25469365974524,male
68,150.83647752273728,56.71614170400328,male
69,150.89240217449304,57.63961844884323,male
70,150.93075753617575,57.72748854172588,male
71,150.93834527325694,48.999623472142176,male
72,150.95754920236743,46.03947768167514,male
73,150.9721387649842,48.14776496433562,male
74,151.02171190677322,52.68173067133223,male
75,151.05495871564787,44.650354347232586,male
76,151.09538959573715,46.01260188841772,male
77,151.10059005120297,57.91189804558063,male
78,151.13287060785294,59.11129799622284,male
79,151.13610337502254,51.71356758864817,male
80,151.16729472649365,56.775775776264624,male
81,151.1870730028679,50.61982731156643,male
82,151.21197093601955,47.99096851526509,male
83,151.21753404540823,52.53016138119349,male
84,151.23170479246846,53.52756007024979,male
85,151.26081879245507,52.42789283582167,male
86,151.26363107268764,58.388090650047005,male
87,151.26707229650327,46.34619091911219,male
88,151.28626014584884,55.78537561519536,male
89,151.29970343307207,47.88248180447316,male
90,151.31625631361342,56.504687109340324,male
91,151.3333297684941,55.139792047687116,male
92,151.35454941356087,44.41313365374952,male
93,151.35653128593532,46.56432118194493,male
94,151.41112665806642,49.165547091941114,male
95,151.43054626024966,47.995761880109505,male
96,151.43419249031425,51.927199968488274,male
97,151.4383974442762,53.84483017243725,male
98,151.49444013920285,58.63570576978732,male
99,151.5075008552999,56.34615304271781,male
100,151.54892418683335,59.45359797464526,male
101,151.5513764495408,49.06509423543132,male
102,151.59358365823667,57.601561445372916,male
103,151.60898842074232,48.89346669852807,male
104,151.65355898399199,53.58122894615396,male
105,151.67595761740446,56.09983085643108,male
106,151.6766836359589,59.14626975804389,male
107,151.6810715647585,42.82741754941511,male
108,151.71746827454763,47.58284567604923,male
109,151.7207559426256,58.951464546200675,male
110,151.74422371304644,48.517364331447844,male
111,151.75951064396423,60.55972596085407,male
112,151.7993871856918,58.87748936536122,male
113,151.82256849853582,54.23781742138069,male
114,151.8458653204869,47.77997060915873,male
115,151.8559252760965,47.48459321957984,male
116,151.88399944128423,50.48992163365641,male
117,151.88821654610624,62.28296009689256,male
118,151.89846892062658,52.98959938571596,male
119,151.89883862102326,53.36528472819538,male
